trial,spike_time_s
5,10.250133
5,10.264933
5,10.2723
5,10.278367
5,10.376267
5,10.3839
5,10.475667
5,10.506967
5,10.513167
5,10.519
5,10.672767
5,10.771933
5,10.777933
5,10.796033
5,10.809033
5,10.882333
5,10.943667
5,10.9507
5,10.954567
5,10.968267
5,10.9759
5,11.0543
5,11.072133
5,11.1514
5,11.169667
5,11.499333
5,11.514267
5,11.519167
5,11.527267
5,11.667633
5,11.7203
5,11.8658
5,11.8705
5,11.876367
5,12.0065
5,12.013467
5,12.0185
5,12.572333
5,12.5774
5,12.581233
5,12.5853
5,13.383133
5,13.3889
5,13.674033
5,13.678633
5,13.684733
5,13.689567
5,13.6981
5,14.147
5,14.2597
5,14.265367
5,14.270033
5,14.2755
5,14.5029
5,14.5103
5,14.515633
5,14.521567
6,0.9005
6,0.908133
6,1.8108
6,1.816467
6,1.8211
6,2.402033
6,2.8631
6,2.870333
6,3.1102
6,3.114733
6,3.1244
6,3.1326
6,3.137267
6,3.365667
6,3.3718
6,3.376967
6,3.423133
6,3.441067
6,3.456533
6,3.464067
6,3.5779
6,3.5845
6,3.591033
6,3.5969
6,3.654467
6,3.660067
6,3.769367
6,3.773167
6,3.7789
6,3.954333
6,3.9601
6,3.968067
6,3.973233
6,3.980967
6,4.0355
6,4.103733
6,4.113
6,4.1186
6,4.126367
6,4.132467
6,4.1804
6,4.1858
6,4.192333
6,4.2317
6,4.236267
6,4.2416
6,4.245633
6,4.251567
6,4.2638
6,4.2698
6,4.283567
6,4.291833
6,4.376333
6,4.379633
6,4.3903
6,4.4612
6,4.465433
6,4.473367
6,4.4785
6,4.597133
6,4.601133
6,4.607133
6,4.670967
6,4.6827
6,4.7905
6,4.798667
6,4.852567
6,4.971567
6,4.976867
6,4.983733
6,5.039567
6,5.297633
6,5.299933
6,5.404433
6,5.634833
6,5.640133
6,5.650833
6,5.6885
6,5.692533
6,5.7073
6,5.7338
6,5.776233
6,5.780233
6,5.847233
6,5.853333
6,5.8613
6,5.866167
6,5.997167
6,6.0052
6,6.8416
6,7.113533
6,7.1178
6,7.1278
6,7.139533
6,7.235567
6,7.7504
6,7.755033
6,7.760333
6,7.9424
6,7.947533
6,7.954633
6,7.961767
6,8.223733
6,8.487767
6,8.493633
6,8.499567
6,8.505233
6,9.043933
6,9.071867
6,9.115967
6,9.120267
6,9.129033
6,9.286133
6,9.297667
6,9.338933
6,9.341833
6,9.433333
6,9.441167
6,9.5969
6,9.801233
6,9.848933
6,9.9029
6,10.1135
6,10.116767
6,10.129067
6,10.160233
6,10.211467
6,10.247633
6,10.269867
6,10.274133
6,10.378667
6,10.382433
6,10.3882
6,10.394367
6,10.4627
6,10.467167
6,10.475933
6,10.617033
6,10.7518
6,10.758933
6,10.765667
6,10.864733
6,10.873733
6,10.921367
6,10.9277
6,10.932967
6,10.939167
6,11.011567
6,11.015933
6,11.023033
6,11.171733
6,11.177067
6,11.184733
6,11.233333
6,11.327333
6,11.503367
6,11.5081
6,11.5115
6,11.5184
6,11.559233
6,11.5638
6,11.575967
6,11.628033
6,11.636333
6,11.6513
6,11.677867
6,11.684567
6,11.7731
6,11.780767
6,11.8577
6,11.865733
6,11.875767
6,12.803167
6,12.827733
6,12.9403
6,12.945067
6,12.948333
6,14.9715
6,14.976933
6,14.9823
7,0.006033
7,0.035333
7,0.041633
7,0.066367
7,0.072833
7,0.082333
7,0.088633
7,0.094333
7,0.113867
7,0.1227
7,0.134633
7,0.1543
7,0.1991
7,0.2069
7,0.2075
7,0.212433
7,0.377633
7,0.383967
7,0.506033
7,0.581533
7,0.7296
7,0.735733
7,0.8006
7,1.206267
7,1.2107
7,1.216233
7,2.3652
7,2.3731
7,2.3795
7,2.3853
7,2.560667
7,2.577333
7,2.582633
7,2.753
7,2.760067
7,3.040767
7,3.048133
7,3.073433
7,3.1027
7,3.106467
7,3.139933
7,3.159667
7,3.202167
7,3.2203
7,3.363267
7,3.368167
7,3.3788
7,3.446567
7,3.468533
7,3.4953
7,3.5013
7,3.5802
7,3.599967
7,3.678133
7,3.796567
7,3.801433
7,3.807333
7,4.098733
7,4.1053
7,4.1477
7,4.180133
7,4.193967
7,4.226267
7,4.2297
7,4.2353
7,4.257133
7,4.2634
7,4.276267
7,4.3708
7,4.375033
7,4.381
7,4.460033
7,4.463833
7,4.4695
7,4.4843
7,4.4918
7,4.498367
7,4.675067
7,4.695067
7,4.772067
7,4.780333
7,4.796733
7,4.850067
7,4.856467
7,4.927467
7,4.935333
7,4.941533
7,4.947233
7,4.957567
7,4.978833
7,5.038067
7,5.0433
7,5.050567
7,5.055433
7,5.075133
7,5.0959
7,5.100267
7,5.1373
7,5.1518
7,5.179033
7,5.218567
7,5.293133
7,5.3014
7,5.456133
7,5.4977
7,5.569733
7,5.5773
7,5.613267
7,5.621833
7,5.627733
7,5.634933
7,5.6403
7,5.644467
7,5.6491
7,5.653733
7,5.667567
7,5.6745
7,5.7858
7,5.859433
7,5.8643
7,6.093567
7,6.786367
7,6.7894
7,6.971667
7,7.781833
7,8.4141
7,9.047
7,9.053967
7,9.345567
7,9.349267
7,9.597233
7,9.601967
7,9.815233
7,10.0431
7,10.109367
7,10.116567
7,10.122133
7,10.1412
7,10.236067
7,10.238667
7,10.246833
7,10.254833
7,10.271267
7,10.278567
7,10.377333
7,10.3809
7,10.391267
7,10.3979
7,10.463733
7,10.469867
7,10.618633
7,10.624067
7,10.784933
7,10.788133
7,10.8658
7,10.929133
7,10.937767
7,10.942733
7,10.950367
7,10.961467
7,10.9718
7,11.0198
7,11.025567
7,11.032667
7,11.165167
7,11.169633
7,11.210467
7,11.5064
7,11.535567
7,11.540233
7,11.5712
7,11.576667
7,11.640167
7,11.649067
7,11.656933
7,11.675833
7,11.6816
7,11.699633
7,11.7487
7,11.754967
7,11.764
7,12.061867
8,0.377133
8,0.992767
8,0.997133
8,1.003333
8,3.0562
8,3.1238
8,3.1268
8,3.136733
8,3.34
8,3.3666
8,3.3725
8,3.5897
8,3.593267
8,3.602167
8,3.653633
8,3.7157
8,3.723567
8,3.731667
8,3.798167
8,3.8132
8,3.859667
8,3.866133
8,3.914533
8,3.9217
8,3.9279
8,4.126867
8,4.142667
8,4.191033
8,4.194067
8,4.200333
8,4.2269
8,4.243367
8,4.251967
8,4.268
8,4.2723
8,4.281467
8,4.461
8,4.466867
8,4.4722
8,4.5852
8,4.5922
8,4.603033
8,4.609267
8,4.615133
8,4.774733
8,4.7795
8,4.791667
8,4.8593
8,4.865067
8,4.924967
8,4.9292
8,4.940467
8,4.948267
8,4.954967
8,4.9605
8,4.9866
8,5.0526
8,5.058133
8,5.0628
8,5.497
8,5.5058
8,5.511567
8,5.633533
8,5.6685
8,5.674867
8,5.952133
8,5.992367
8,5.998733
8,7.714233
8,7.720633
8,7.724833
8,7.7324
8,7.9709
8,8.5564
8,8.564267
8,8.569533
8,8.575633
8,8.583067
8,9.0427
8,9.070633
8,9.074333
8,9.108633
8,9.3036
8,9.3158
8,9.371767
8,9.5928
8,9.801633
8,9.809367
8,9.817033
8,9.994967
8,10.120233
8,10.124567
8,10.128733
8,10.1802
8,10.190233
8,10.2396
8,10.2448
8,10.249033
8,10.254267
8,10.260067
8,10.277633
8,10.285367
8,10.293733
8,10.381167
8,10.385333
8,10.465367
8,10.4696
8,10.528733
8,10.542033
8,10.628967
8,10.6342
8,10.794033
8,10.800367
8,10.806133
8,10.885667
8,10.890133
8,10.895467
8,10.9013
8,10.944133
8,10.952267
8,10.9586
8,10.964167
8,11.066767
8,11.0727
8,11.175067
8,11.207067
8,11.459067
8,11.466167
8,11.502367
8,11.527567
8,11.5343
8,11.636267
8,11.641767
8,11.6512
8,11.657267
8,11.6683
8,11.759267
8,11.7661
8,11.773067
8,12.007933
8,12.0137
8,12.5136
8,12.5214
8,12.528167
8,13.450733
8,13.867867
8,13.872067
8,13.876933
8,13.8831
8,14.453933
8,14.457
9,0.0908
9,0.095867
9,0.100533
9,0.1038
9,0.122933
9,1.058733
9,1.359
9,1.664967
9,1.670067
9,1.867467
9,1.882467
9,1.8856
9,1.891033
9,1.903933
9,1.911
9,1.915633
9,2.2349
9,2.275067
9,2.966667
9,2.972033
9,2.979033
9,2.986533
9,2.991267
9,3.050367
9,3.0636
9,3.191067
9,3.196667
9,3.2142
9,3.356233
9,3.366567
9,3.587
9,3.615167
9,3.797467
9,3.8185
9,4.120767
9,4.167233
9,4.171667
9,4.176833
9,4.182167
9,4.192967
9,4.241233
9,4.247667
9,4.2547
9,4.261867
9,4.2692
9,4.2821
9,4.2876
9,4.374967
9,4.3768
9,4.3802
9,4.388933
9,4.410633
9,4.460333
9,4.4659
9,4.471033
9,4.4811
9,4.602533
9,4.6196
9,4.628967
9,4.701933
9,4.707467
9,4.7442
9,4.794133
9,4.801067
9,4.913333
9,4.9174
9,4.924767
9,4.937067
9,4.948967
9,4.969933
9,4.981967
9,4.988067
9,4.997967
9,5.003367
9,5.059567
9,5.064067
9,5.071433
9,5.1499
9,5.160067
9,5.1709
9,5.503067
9,5.5103
9,5.520033
9,5.5601
9,5.565867
9,5.572733
9,5.579333
9,5.647033
9,5.654067
9,5.658933
9,5.667667
9,5.677233
9,5.690933
9,5.8154
9,5.8709
9,5.8778
9,6.007833
9,6.813
9,8.114133
9,8.1207
9,8.1247
9,8.129633
9,9.068467
9,9.0731
9,9.077967
9,9.345133
9,9.350633
9,9.5967
9,9.6023
9,10.091
9,10.103367
9,10.1375
9,10.1442
9,10.188467
9,10.244867
9,10.252633
9,10.270533
9,10.283233
9,10.3813
9,10.388933
9,10.489967
9,10.652
9,10.6574
9,10.6662
9,10.7857
9,10.795
9,10.803533
9,10.821367
9,10.857933
9,10.866167
9,10.8731
9,10.908667
9,10.913567
9,10.9217
9,10.9316
9,10.943167
9,10.946967
9,10.959067
9,11.0556
9,11.071167
9,11.076867
9,11.0834
9,11.1471
9,11.2066
9,11.220333
9,11.5011
9,11.5078
9,11.513533
9,11.5645
9,11.577267
9,11.596867
9,11.621367
9,11.6313
9,11.6676
9,11.7653
9,11.780567
9,11.877033
9,11.8829
9,12.0011
9,12.0069
9,12.0131
9,12.018233
9,12.022667
9,12.052833
9,13.283967
9,13.798333
10,2.230333
10,2.916633
10,3.1121
10,3.117033
10,3.121033
10,3.1255
10,3.362967
10,3.370333
10,3.376
10,3.411233
10,3.437533
10,3.448967
10,3.6652
10,4.1211
10,4.126133
10,4.131767
10,4.180767
10,4.1854
10,4.1914
10,4.202167
10,4.279367
10,4.2861
10,4.294233
10,4.381
10,4.386933
10,4.391833
10,4.474
10,4.482033
10,4.487133
10,4.615433
10,4.622633
10,4.7027
10,4.785733
10,4.7902
10,4.795733
10,4.816967
10,4.8233
10,4.8373
10,4.884333
10,4.8972
10,4.9045
10,4.953533
10,4.961
10,5.069567
10,5.075933
10,5.154367
10,5.159667
10,5.163533
10,5.172067
10,5.190633
10,5.289733
10,5.295167
10,5.300233
10,5.3225
10,5.330233
10,5.512967
10,5.5181
10,5.529667
10,5.535367
10,5.5417
10,5.549333
10,5.5693
10,5.575467
10,5.626133
10,5.632167
10,5.6509
10,5.656733
10,5.661933
10,5.673933
10,5.690133
10,5.6954
10,5.727433
10,5.733467
10,5.825967
10,5.858467
10,5.8655
10,5.878767
10,5.8914
10,5.898867
10,5.9606
10,5.975333
10,7.208433
10,7.464733
10,7.472933
10,7.478233
10,7.502433
10,7.831133
10,7.843733
10,8.082267
10,8.351233
10,8.8102
10,8.8172
10,8.8216
10,8.8265
10,9.047233
10,9.0533
10,9.0687
10,9.0735
10,9.1072
10,9.113167
10,9.371433
10,9.574833
10,9.586233
10,9.594167
10,9.639067
10,9.807733
10,9.974033
10,10.0938
10,10.1162
10,10.125567
10,10.140867
10,10.236433
